TASK_TYPE,SUBLOT,AREA,EQP,STEP,DATES,PACKAGE
WIRE_TO_OPTICAL,Q26066042-17,C01-15,3QHS3835,三光检验,2026-07-24T02:19:08,SSOP16/PP(150mil)(8R)(P0.5)
WIRE_TO_OPTICAL,Q26074621-1,N16-8,2QHB99,三光检验,2026-07-23T02:28:07,TO-263-7L(2R)
WIRE_TO_OPTICAL,Q26067813-4,C03-07,3QHS4185,三光检验,2026-07-24T10:36:33,SOP8(150mil)(12R)
WIRE_TO_OPTICAL,Q26072441-1,C03-11,3QHS4288,三光检验,2026-07-24T10:39:36,SOP14(9R)
WIRE_TO_OPTICAL,Q26052870-5-1,C04-05,3QHS4278,三光检验,2026-07-23T13:15:07,SOP16(300mil)(5R)
WIRE_TO_OPTICAL,Q26065490-13,C10-12,3QHS4229,三光检验,2026-07-24T07:53:17,HTSSOP32/PP(240mil)(8R)
WIRE_TO_OPTICAL,Q26067490-10,C01-02,3QHS3821,三光检验,2026-07-24T03:57:04,SSOP14/PP(150mil)(8R)
WIRE_TO_OPTICAL,Q26067490-11,C01-12,3QHS3922,三光检验,2026-07-23T04:10:58,SSOP14/PP(150mil)(8R)
WIRE_TO_OPTICAL,Q26065490-14,C17-06,3QHS4218,三光检验,2026-07-24T09:03:13,HTSSOP32/PP(240mil)(8R)
WIRE_TO_OPTICAL,Q26057206-36,C17-03,3QHS4225,三光检验,2026-07-24T06:19:28,TSSOP16(173mil)(10R)
WIRE_TO_OPTICAL,Q26072771-2,N17-5,2QHB82,三光检验,2026-07-24T06:33:17,TOLL-8L(6R)
WIRE_TO_OPTICAL,Q26057206-40,C16-09,3QHS4269,三光检验,2026-07-24T12:28:28,TSSOP16(173mil)(10R)
WIRE_TO_OPTICAL,Q26057206-37,C11-05,3QHS4135,三光检验,2026-07-24T05:52:31,TSSOP16(173mil)(10R)
WIRE_TO_OPTICAL,Q26068492-4,C14-05,3QHS4178,三光检验,2026-07-24T07:17:21,SOP8(150mil)(12R)
WIRE_TO_OPTICAL,Q26064708-1,C15-10,3QHS4243,三光检验,2026-07-23T13:02:55,SSOP16/PP(150mil)(8R)(P0.5A)
WIRE_TO_OPTICAL,Q26066429-5,C17-01,3QHS4207,三光检验,2026-07-24T07:09:49,SOP8(150mil)(12R)
